ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Hora de la última modificación;Indícanos tu sede;¿Con qué frecuencia asistes a las ayudantías de tus cursos actuales?;¿Cuál o cuáles son las principales razones por la que no asistes o asistes poco a ayudantía?; Cuando no usas la ayudantía oficial, ¿qué utilizas para estudiar?;Utilidad real: ¿Cuánto te sirven para aprender la materia?;Comodidad: ¿Qué tan cómodo(a) te sientes haciendo preguntas?;Claridad: ¿Qué tan claro es el ayudante al explicar?;Preparación: ¿Qué tanto te preparan para las evaluaciones (pruebas/exámenes)?;¿Has notado diferencias grandes en la calidad o criterios entre distintos ayudantes de un mismo curso? ;(Opcional) Cuéntanos brevemente qué diferencia notaste;¿Qué tan alineada sientes la ayudantía con lo que ves en clases con el profesor?;Column;Si has tenido problemas con una corrección, ¿cómo fue la resolución?;¿Qué modalidad te sirve más para una ayudantía? (Tipo: Opción única);¿En qué horario es más probable que asistas a una ayudantía? (Tipo: Opción única);¿Qué formato de ayudantía es el que más te ayuda a aprender? (Tipo: Opción única);Para ti, ¿qué es lo más importante que debería tener una ayudantía para ser útil? (Tipo: Texto);Si pudieras cambiar UNA sola cosa de las ayudantías de ICI hoy, ¿qué sería? (Tipo: Texto);¿Alguna vez has sido ayudante en la UAI? (Tipo: Opción única);¿Cuál es la razón principal por la que NO has sido ayudante? (Tipo: Máximo 3 opciones);(Opcional) Comentarios sobre las ayudantias en la actualidad
35;1-15-26 16:50:31;1-15-26 17:14:57;anonymous;;;;0%;"Horario (tope o inconveniente);No me sirve / No aporta valor;A modo de aclaración: Horario porque son inconvenientes (forzado a ser primera hora o últimas horas del día) y porque los últimos dos semestres ni siquiera sabía del horario de mis ayudantías hasta que inició el semestre de clases, por lo cual planee mi horario sin considerarlas. No me sirve porque no se me hacen necesarias, no así porque las encuentre inútiles o sin valor.;";"Apuntes propios o de compañeros;Material de estudio proporcionado por el profesor o ayudantes además de pautas de evaluaciónes de años pasados.;";3;5;4;5;Sí, hay mucha diferencia;Efectivamente noto una diferencia en la calidad de la preparación que realizan los ayudantes, algunos destacando notoriamente, ahora bien donde encuentro que hay un problema real es sobre los criterios de evaluación de estos, especialmente en los ramos de física 1, 2 y 3, donde los ayudantes suelen encargarse de la corrección de los informes de laboratorio y aquí la exigencia de corrección es extremadamente dispareja, siendo la nota obtenida más dependiente de lo exigente que es el ayudante sobre lo bien que esté escrito el informe. Claro que con este problema no cooperan las pautas y rúbricas de laboratorio que son entregadas a todas las secciones por igual ya que no representan las opiniones y criterios varios de los alumnos, ayudantes ni profesores acerca de lo que constituye un buen informe, razón por la cual es frecuente que no las sigan a la perfección a la hora de corregir ni dar consejo sobre como escribirlos. Este problema se repite en múltiples ramos donde los ayudantes están encargados de corregir evaluaciones que constituyen actividades más ambiguas que la resolución de una prueba de ejercicios y es lo que encuentro que realmente provoca molestia en los estudiantes sobre la diferencia entre ayudantes.;10;1;Se resolvió rápido y de forma clara.;100% Presencial;Tarde;Resolución de ejercicios tipo prueba (intensivo);Ejercicios desafiantes (resolver porblemas que un estudiante demoraría en resolver por su cuenta durante el estudio de manera comprensiva);Mantener sus horarios visibles durante la toma de ramos y dejar de restringirlas a los horarios de las 8:30 y después de las 18:00. ;No;"El incentivo académico (créditos/currículum) no es suficiente;No tengo tiempo por la carga académica;Con la manera en que funcionan las ayudantías hasta el semestre pasado encuentro un despropósito dedicar tiempo a cooperar con el estudio y rendimiento académico de nuevos estudiantes debido a la baja asistencia que tienen las ayudantías y lo díficil que lo han hecho estos últimos semestres para asistir, quedando como motivación el pago.;";
36;1-15-26 17:10:28;1-15-26 17:18:44;anonymous;;;;50%;"Mal ayudante / No se entiende;Prefiero estudiar por mi cuenta;";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";1;1;1;1;Sí, hay mucha diferencia;;6;3;Se resolvió rápido y de forma clara.;100% Presencial;Tarde;Repaso de materia (resumen) + Práctica;Explicar de forma clara ;Que los ayudantes expliquen mejor ;No;"No me siento preparado/a técnicamente;";
37;1-15-26 17:44:37;1-15-26 18:09:42;anonymous;;;;50%;"Horario (tope o inconveniente);Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;3;4;4;No, es bastante homogéneo;;10;4;No aplica / No he tenido problemas.;100% Online sincrónica (Zoom/Teams en vivo);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);En los ejercicios poner paso a paso la forma de resolver los ejercicios, o poner tips para resolver ejercicios ;Nada;No;"No me siento preparado/a técnicamente;";
38;1-15-26 18:11:00;1-15-26 18:15:05;anonymous;;;;75%;;"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Pautas de pruebas pasadas;";4;3;4;4;Sí, hay mucha diferencia;Diferencia en manejo de contenido, profundidad de conocimiento, algunos solo hacian la pauta mientas que otros la explicaban ;8;3;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Almuerzo;Repaso de materia (resumen) + Práctica;;;No;"Los estudiantes no valoran las ayudantías, donde en algunas hemos sido 2 o 3 preguntas mas el ayudante. Eso desmotiva a la hora de pensar si postularse.;";
39;1-15-26 20:23:14;1-15-26 20:29:17;anonymous;;;;0%;"Horario (tope o inconveniente);Mal ayudante / No se entiende;Prefiero estudiar por mi cuenta;Prefiero ver las ayudantias despues pausadas;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);";4;1;4;4;Sí, hay mucha diferencia;El orden y la calidad de los ejercicios;8;2;No aplica / No he tenido problemas.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Ejercicios que ayuden a comprender la materia + ejercicios tipo prueba? Idealmente un resumen práctico al inicio para ir comprendiendo el ejercicio, junto con que expliquen a detalle el paso a paso y que no salga de la nada el resultado.;El tope de horario;Sí;;
40;1-15-26 21:00:26;1-15-26 21:03:55;anonymous;;;;75%;;"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";5;5;4;3;No, es bastante homogéneo;;6;3;No se resolvió satisfactoriamente.;Híbrida (presencial + transmisión);Tarde;Resolución de ejercicios tipo prueba (intensivo);Ejercicios que sirvan para la prueba. No iguales pero de la misma dificultad;La programación ;Sí;;Bueno, se ve una baja participación 
41;1-15-26 21:28:45;1-15-26 21:31:45;anonymous;;;;75%;;"IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;Tutorías externas pagadas;";3;3;4;3;Sí, hay mucha diferencia;algunos ayudantes complementan el ejercicio, otros a veces ni saben explicar paso a paso porque se saltan varios pasos clave para entender ;6;3;No aplica / No he tenido problemas.;100% Online sincrónica (Zoom/Teams en vivo);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);;;No;"No tengo tiempo por la carga académica;";
42;1-15-26 22:12:54;1-15-26 22:18:59;anonymous;;;;50%;"Logística / Traslado a la sede;Modalidad (ej. es online y prefiero presencial, o viceversa);";"IA (ChatGPT, Claude, etc.);";5;4;4;4;Sí, hay mucha diferencia;Hay ayudantias en donde el ayudante escoge ejercicios y en otra es un profesor que organiza que ejercicios hacer ;8;4;Se resolvió rápido y de forma clara.;100% Online sincrónica (Zoom/Teams en vivo);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Explicación de materia con tips y ejercicios ;Los horarios escogidos respecto al horario de los alumnos;Sí;;
43;1-15-26 23:56:19;1-16-26 0:00:56;anonymous;;;;75%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";3;4;4;4;Sí, hay mucha diferencia;;7;4;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Repaso de materia (resumen) + Práctica;;;No;"He postulado en varias ocasiones y no quedo seleccionado o los ayudantes ya están elegidos de antes por los profesores;Los horarios de ayudantía no me acomodan;";
44;1-16-26 2:01:02;1-16-26 2:03:42;anonymous;;;;0%;"No me sirve / No aporta valor;";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);Grupo de estudio con amigos;IA (ChatGPT, Claude, etc.);";1;1;1;2;Sí, hay mucha diferencia;;5;2;Se resolvió, pero fue un proceso lento o difícil.;100% Online sincrónica (Zoom/Teams en vivo);Mañana;Resolución de ejercicios tipo prueba (intensivo);;;No;"El pago/incentivo económico es bajo;El incentivo académico (créditos/currículum) no es suficiente;";
45;1-16-26 2:14:25;1-16-26 2:17:14;anonymous;;;;0%;"Horario (tope o inconveniente);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;Tutorías externas pagadas;";5;3;4;5;Sí, hay mucha diferencia;En IO, la ayudante se enredaba muchísimo al explicar, lo hacía muy rápido y no se entendía bien el porqué de las cosas. En cambio si no fuera por las ayudantías pasada del 2023 de un ayudante del ramo  , no hubiera pasado ese ramo;9;4;Se resolvió rápido y de forma clara.;100% Online sincrónica (Zoom/Teams en vivo);Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios de prueba bie hechos;La modalidad, que sean online grabadas;Sí;;
46;1-16-26 7:51:22;1-16-26 7:58:52;anonymous;;;;75%;;"Apuntes propios o de compañeros;Tutorías externas pagadas;";4;3;2;1;Sí, hay mucha diferencia;De las ayudantias que he tenido, hay unos que siguen al pie de la página la pauta y no explican, en cambio otros la siguen pero es dinámico para aprender ;3;2;Se resolvió, pero fue un proceso lento o difícil.;100% Presencial;Almuerzo;Repaso de materia (resumen) + Práctica;Dinámicas y poder hablar cara a cara presencialmente ;Que sean presencial;No;"No tengo tiempo por la carga académica;Aparte de la disponibilidad de mi horario;";Nadie se conecta a las ayudantias online
47;1-16-26 13:00:20;1-16-26 13:17:11;anonymous;;;Peñalolén;25%;"Logística / Traslado a la sede;Me apoyo en otras herramientas (IA, videos externos, apuntes);Prefiero estudiar por mi cuenta;No me sirve / No aporta valor;";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";2;5;3;4;Sí, hay mucha diferencia;"Simplemente hay unos mejores que otros. Unos manejan muy bien la materia, hacen ejercicios y responden dudas sin problemas. Otros que solo basta con 1 a 3 clases para darse cuenta que no te servirá por el mal manejo de la materia, no expresare bien en frente de la sala y no tener un cierto grado de ""habilidad"" para enseñar. ";9;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Eficiencia, comodidad, confianza y ejercitar;Horarios. ;No;"No me siento preparado/a técnicamente;No me interesa / No aplica;";Las ayudantías siempre son una buena idea, muchas me han salvado ramos (por la calidad de ayudantes) Solo que hay 2 puntos centrales a considerar cambio. Los horarios y calidad de ayudantes. Entiendo que el tema de horarios es dificil, pero tener una ayudantía 8am u otra a las 7pm (con ventanas entre medio) se hace totalmente tentador faltar (mi motivo principal). Y considero necesario algún filtro extra para los ayudantes. Entiendo que son estudiantes como nosotros, pueden estar nerviosos y más. Pero he visto algunos que genuinamente impresiona la poca habilidad de enseñanza y manejora de materia (aunque es la total minoría de casos pero no se puede ignorar)
48;1-16-26 14:58:38;1-16-26 15:01:02;anonymous;;;Peñalolén;50%;"Horario (tope o inconveniente);No me sirve / No aporta valor;Mal ayudante / No se entiende;";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";4;3;3;5;Sí, hay mucha diferencia;;8;3;No se resolvió satisfactoriamente.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Tarde;Repaso de materia (resumen) + Práctica;;;No;"No tengo tiempo por la carga académica;";
49;1-16-26 22:00:34;1-16-26 22:07:58;anonymous;;;Peñalolén;50%;"Horario (tope o inconveniente);Mal ayudante / No se entiende;";"Videos (YouTube, grabaciones de años anteriores);Grupo de estudio con amigos;Apuntes propios o de compañeros;";5;3;4;4;Sí, hay mucha diferencia;"Para algunos ramos mas de final de carrera los ayudantes utilizan diferentes procedimientos para llegar a las respuestas y algunos son mas faciles y si es que no te consigues el video o un amigo no te explicó nunca aprendiste una metodología mas facil o simple. 
por otra parte, a veces cuando las ayudantias son onlinr, algunos ayudantes ya llevan los ejercicios resueltos y solo hablan y explican lo que hicieron en vez de ir paso a paso abriendo paso a preguntas a medida que avanza el ejercicio ";9;5;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Almuerzo;Repaso de materia (resumen) + Práctica;Breve repaso de la materia que se vera en esa hora, las cosas claves que uno deberia manejar para luego hacer ejercicios y entender que se esta haciendo ;Que se entregue el desarrollo de los ejercicios realizados ;No;"El pago/incentivo económico es bajo;No me siento preparado/a técnicamente;Los horarios de ayudantía no me acomodan;";
50;1-16-26 22:33:53;1-16-26 22:58:20;anonymous;;;Peñalolén;75%;;"Videos (YouTube, grabaciones de años anteriores);Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);";3;4;4;5;No, es bastante homogéneo;;8;5;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Tarde;Resolución de ejercicios tipo prueba (intensivo);Guía con resolución subida y que haya un tiempo designado para responder preguntas de cada ejercicio.;;No;"El incentivo académico (créditos/currículum) no es suficiente;El pago/incentivo económico es bajo;No tengo tiempo por la carga académica;";
51;1-19-26 10:34:31;1-19-26 10:36:34;anonymous;;;Peñalolén;75%;;"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Tutorías externas pagadas;Videos (YouTube, grabaciones de años anteriores);";5;4;4;5;No, es bastante homogéneo;;10;3;Se resolvió rápido y de forma clara.;100% Online sincrónica (Zoom/Teams en vivo);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Ser clara ;Los horarios ;No;"El pago/incentivo económico es bajo;No tengo tiempo por la carga académica;Los horarios de ayudantía no me acomodan;";
52;1-21-26 10:42:11;1-21-26 10:49:55;anonymous;;;Viña del Mar;25%;"Logística / Traslado a la sede;Prefiero estudiar por mi cuenta;";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";2;1;2;5;Sí, hay mucha diferencia;creo que la mayor diferencia es cuando hacen la ayudantía como por cumplir, apegándose a la pauta en vez de cuando hay un interés real para que los alumnos aprendan. por ejemplo hacer ayudantías preparatorias para las pruebas, responder consultas en correo y asi;8;2;No aplica / No he tenido problemas.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Almuerzo;Repaso de materia (resumen) + Práctica;repaso de materia con ejercicios de dificultad tipo prueba;creo que podría hacerse ayudantías cada dos semanas tipo repaso materia más ejercicios de prueba (esto podría ser online) y luego previo a la evaluación hacer una especie de intensivo presencial donde se resuelvan ejercicios de prueba y dudas particulares;No;"No me siento preparado/a técnicamente;";
53;1-21-26 15:33:07;1-21-26 15:35:42;anonymous;;;Peñalolén;75%;;"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";5;5;4;5;No, es bastante homogéneo;;10;4;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Tarde;Resolución de ejercicios tipo prueba (intensivo);ejercicios tipo prueba;ejercicios con su respuesta;No;"No me siento preparado/a técnicamente;";
54;1-21-26 21:09:33;1-21-26 21:12:38;anonymous;;;Viña del Mar;0%;"Horario (tope o inconveniente);No me sirve / No aporta valor;Mal ayudante / No se entiende;Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";1;2;3;4;Sí, hay mucha diferencia;hay ayudantes que se desvían del temario fácilmente, o hacen ejercicios mas teóricos, o menos probables a salir en evaluaciónes;8;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);hacer ejercicios tipo prueba;que sean repasos ulta básicos de la materia;No;"No me siento preparado/a técnicamente;";
55;1-22-26 0:37:41;1-22-26 0:46:26;anonymous;;;Peñalolén;75%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;5;3;4;Sí, hay mucha diferencia;En GCS, había una ayudante muy ordenada (creo que era la de viña 2025-1) y clara para transmitir las ideas, mientras que otros ayudantes eran más desordenados a la hora de resolver ejercicios y no tenían capacidad de transmitir su conocimiento de forma concreta. Si bien el contenido de las ayudantías era muy similar, la calidad de estas no lo era, y es mucho más fácil aprender de una persona clara y ordenada que de alquien que no.;9;4;Se resolvió rápido y de forma clara.;100% Presencial;Tarde;Resolución de ejercicios tipo prueba (intensivo);La ayudantía debería ser para preparar ejercicios tipo prueba y resolver dudas de la materia que vayan surgiendo a lo largo de la resolución previamente mencionada. Lo más importante, es que el/la ayudante tenga un manejo óptimo de la información para ser un aporte en el aprendizaje;Modalidad, prefiero que vuelva la presencialidad 100%, en horarios que sean idealmente cerca de la catedra del mismo ramo;Sí;;
56;1-27-26 11:29:31;1-27-26 11:36:42;anonymous;;;Peñalolén;100%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";4;4;3;4;No, es bastante homogéneo;;8;3;Se resolvió, pero fue un proceso lento o difícil.;100% Online sincrónica (Zoom/Teams en vivo);Tarde;Resolución de ejercicios tipo prueba (intensivo);Un pequeño resumen y hacer el ejercicio de tipo prueba desde el comienzo para ver cómo se desarrolla para comprender mejor y ver si quedaron dudas;En un curso tuve cada semana un ayudante diferente lo que costaba el comprender como explicaba cada ayudante, unos explicaban mejor y como nem más la materia ;No;"No tengo tiempo por la carga académica;No me siento preparado/a técnicamente;Una vez postulé y no fui aceptado como ayudante.;";Av
57;2-20-26 2:03:23;2-20-26 2:06:37;anonymous;;;Viña del Mar;75%;;"Apuntes propios o de compañeros;";5;4;4;5;No, es bastante homogéneo;;8;3;No aplica / No he tenido problemas.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Ejercicios tipo prueba ;Que hay poca variedad de ejercicios, generalmente los sacan de pautas de años anteriores y creo que sería mejor crear nuevos considerando que uno ya tiene acceso a las pautas;No;"No tengo tiempo por la carga académica;";
58;3-6-26 16:28:57;3-6-26 16:33:58;anonymous;;;Viña del Mar;100%;;"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Apuntes propios o de compañeros;Grupo de estudio con amigos;";4;5;3;3;Sí, hay mucha diferencia;Algunos ayudantes no subian las grabaciones ;10;4;Se resolvió, pero fue un proceso lento o difícil.;100% Presencial;Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios similares a lo que se va a evaluar ;la hora que se hacen ;No;"No tengo tiempo por la carga académica;Los horarios de ayudantía no me acomodan;El incentivo académico (créditos/currículum) no es suficiente;";
59;3-6-26 16:29:10;3-6-26 16:35:00;anonymous;;;Peñalolén;50%;"Horario (tope o inconveniente);Logística / Traslado a la sede;Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);Grupo de estudio con amigos;";3;4;4;5;Sí, hay mucha diferencia;;8;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Tarde;Resolución de ejercicios tipo prueba (intensivo);Ejercicios;Modalidad;No;"Los horarios de ayudantía no me acomodan;No me siento preparado/a técnicamente;No tengo tiempo por la carga académica;";
60;3-6-26 16:29:38;3-6-26 16:35:58;anonymous;;;Peñalolén;75%;;"Apuntes propios o de compañeros;Grupo de estudio con amigos;";5;3;4;5;No, es bastante homogéneo;;8;4;Se resolvió rápido y de forma clara.;100% Presencial;Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios que vayan aumentando la dificultad según vayan pasando las materias del curso.;Hacerlas todas presencial. No hay comparación entre una online con una presencial, se saca mucho más provecho yendo a una sala a ejercitar.;Sí;;Debería existir bonus por asistir a ayudantías para incentivar la asistencia. A uno como ayudante le gusta tener estudiantes interesados en el ramo y a los alumnos les favorece mucho asistir presencialmente a las ayudantías disminuyendo distracciones y aumentando la interacción con el ayudante y los compañeros.
61;3-6-26 16:32:04;3-6-26 16:36:56;anonymous;;;Viña del Mar;25%;"Horario (tope o inconveniente);No me sirve / No aporta valor;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";2;3;3;2;No, es bastante homogéneo;;4;3;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Tarde;Resolución de ejercicios tipo prueba (intensivo);No ser muy distinto a la forma de explicar del profe, que no existan maneras ni formas que sean confusas para el alumno;Que tengan mas parentesco a la forma de enseñar del profesor de la asignatura;No;"No tengo tiempo por la carga académica;Los horarios de ayudantía no me acomodan;No me interesa / No aplica;";
62;3-6-26 16:41:54;3-6-26 16:44:37;anonymous;;;Peñalolén;50%;"Mal ayudante / No se entiende;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";3;5;3;4;Sí, hay mucha diferencia;Hay ayudantes que saben explicar muy bien y otros que no saben explicar para nada;9;5;Se resolvió rápido y de forma clara.;100% Online sincrónica (Zoom/Teams en vivo);Mañana;Resolución de ejercicios tipo prueba (intensivo);un buen ayudante;que se les pagara más a los ayudantes;Sí;;
63;3-6-26 17:56:06;3-6-26 17:59:58;anonymous;;;Peñalolén;75%;;"IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";3;3;3;3;Sí, hay mucha diferencia;;8;4;No aplica / No he tenido problemas.;100% Online sincrónica (Zoom/Teams en vivo);Mañana;Resolución de ejercicios tipo prueba (intensivo);material online de los ejercicios ya hechos;que sean online cuando son tarde por temas de locomoción, prioridad de llegar a la casa etc;No;"El pago/incentivo económico es bajo;No tengo tiempo por la carga académica;";
64;3-6-26 18:05:41;3-6-26 18:14:34;anonymous;;;Peñalolén;100%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;5;4;4;Sí, hay mucha diferencia;Hay ayudantes que solo resuelven los ejercicios que trajeron, pero no pueden responder bien preguntas, mientras que otros muestran un gran manejo del contenido cuando se les hacen preguntas.;7;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Mañana;Resolución de ejercicios tipo prueba (intensivo);Guía con ejercicios que aborden distintos tipos de problema;;Sí;;
65;3-6-26 20:30:08;3-6-26 20:34:34;anonymous;;;Peñalolén;75%;;"Tutorías externas pagadas;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);Apuntes propios o de compañeros;";4;3;3;4;Sí, hay mucha diferencia;En la forma de explicar y el conocimiento del ramo;8;2;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Ser bueno explicando y tener conocimientos claros de la materia;Que sean todas online ;No;"El pago/incentivo económico es bajo;Los horarios de ayudantía no me acomodan;No me siento preparado/a técnicamente;";
66;3-6-26 22:35:38;3-6-26 22:41:00;anonymous;;;Peñalolén;75%;;"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";5;5;4;5;No, es bastante homogéneo;;9;3;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Tarde;Resolución de ejercicios tipo prueba (intensivo);Resolución de ejercicios y dudas de procedimientos.;El horario.;Sí;;Las ayudantía son útiles pero debido a la dispersión de los módulos de clase de los distintos estudiantes se deben hacer muy tarde y nadie va, presencial u online.
67;3-7-26 8:39:23;3-7-26 8:40:40;anonymous;;;Peñalolén;75%;;"Apuntes propios o de compañeros;Grupo de estudio con amigos;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";5;4;4;5;No, es bastante homogéneo;;9;4;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);;;Sí;;
68;3-8-26 1:59:05;3-8-26 2:03:10;anonymous;;;Peñalolén;25%;"Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);Horario (tope o inconveniente);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);";3;2;3;4;Sí, hay mucha diferencia;;7;2;No se resolvió satisfactoriamente.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Tarde;Resolución de ejercicios tipo prueba (intensivo);Ejercicios tipo prueba;Que sean clases y no cápsulas grabadas;Sí;;Los alumnos no asisten, no se posee material nuevo, existe solo materialantiguo. Deberían hacerse cápsulas en caso de que no asistan a las clases
69;3-9-26 13:34:12;3-9-26 13:36:51;anonymous;;;Peñalolén;25%;"Me apoyo en otras herramientas (IA, videos externos, apuntes);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Videos (YouTube, grabaciones de años anteriores);Grupo de estudio con amigos;IA (ChatGPT, Claude, etc.);";3;5;3;3;Sí, hay mucha diferencia;;7;3;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Tarde;Repaso de materia (resumen) + Práctica;ejercicios ;horario;No;"El pago/incentivo económico es bajo;";
70;3-9-26 14:54:32;3-9-26 15:36:25;anonymous;;;Viña del Mar;100%;;"IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);Grupo de estudio con amigos;";4;4;3;5;Sí, hay mucha diferencia;"Algunos ayudantes se contrabando en hacer solamente lo que hacían los profes. Pero los ayudantes buenos pueden hacer ejercicios por si mismos y poder hacer una clase de refuerzo, mas que una ""clase de tarea""";9;4;No se resolvió satisfactoriamente.;Híbrida (presencial + transmisión);Mañana;Sesión abierta de dudas (Q&A);Tiempo para que el ayudante explique y ejercicios con retroalimentacion.;Que fueran híbridas y que se revise que los ayudantes manejen la materia;No;"No tengo tiempo por la carga académica;No me siento preparado/a técnicamente;";En fisica deberían asegurar que el ayudante sabe una materia, solamente en fisica
71;3-20-26 13:02:22;3-20-26 13:05:48;anonymous;;;Peñalolén;0%;"Horario (tope o inconveniente);Logística / Traslado a la sede;Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";4;5;5;5;Sí, hay mucha diferencia;;9;3;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);;;No;"No tengo tiempo por la carga académica;Los horarios de ayudantía no me acomodan;";
